ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
56,"Xã Nam Cửa Việt",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,3.01,5.13,2.04,4
56,"Xã Nam Cửa Việt",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,8.4,14.25,3.28,10.86
56,"Xã Nam Cửa Việt",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.51,4.38,1.6,3.32
57,"Xã Bến Hải",D+1-3,"Mùa mưa (T9-T12)",255,111,2.9,6.48,7.68,-0.51,1.96
57,"Xã Bến Hải",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.32,4.86,1.5,2.9
57,"Xã Bến Hải",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,8.76,15.47,3.23,11.03
57,"Xã Bến Hải",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,2.9,4.39,0.93,2.11
58,"Xã Vĩnh Linh",D+1-3,"Mùa mưa (T9-T12)",255,111,1.5,6.43,9.01,0.86,5.12
58,"Xã Vĩnh Linh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.66,4.75,1.67,2.86
58,"Xã Vĩnh Linh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.5,8.92,14.52,3.82,11.39
58,"Xã Vĩnh Linh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.51,5.61,1.26,3.3
59,"Xã Mỹ Thủy",D+1-3,"Mùa mưa (T9-T12)",255,111,1.8,7.67,8.38,-1.32,0.12
59,"Xã Mỹ Thủy",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,2.95,5.39,2.2,4.57
59,"Xã Mỹ Thủy",D+4-7,"Mùa mưa (T9-T12)",340,148,1.4,8.43,13.02,2.84,9.29
59,"Xã Mỹ Thủy",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.64,5.16,1.78,4.11
60,"Xã Vĩnh Định",D+1-3,"Mùa mưa (T9-T12)",255,111,1.8,7.67,8.38,-1.32,0.12
60,"Xã Vĩnh Định",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,2.95,5.39,2.2,4.57
60,"Xã Vĩnh Định",D+4-7,"Mùa mưa (T9-T12)",340,148,1.5,8.43,13.06,2.84,9.32
60,"Xã Vĩnh Định",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,2.64,4.43,1.78,3.37
61,"Xã Hướng Hiệp",D+1-3,"Mùa mưa (T9-T12)",255,111,0.8,7.49,12.95,7.4,12.56
61,"Xã Hướng Hiệp",D+1-3,"Mùa khô (T1-T8)",1008,435,0.3,4.76,5.73,-0.11,0.29
61,"Xã Hướng Hiệp",D+4-7,"Mùa mưa (T9-T12)",340,148,0.9,7.38,17.56,7.18,16.88
61,"Xã Hướng Hiệp",D+4-7,"Mùa khô (T1-T8)",1344,580,0.5,4.79,5.06,-0.59,-1.29
62,"Phường Nam Đông Hà",D+1-3,"Mùa mưa (T9-T12)",255,111,2.5,6.76,7.66,-0.74,0.89
62,"Phường Nam Đông Hà",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.7,6.29,1.41,4
62,"Phường Nam Đông Hà",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,7.47,10.74,1.47,6.62
62,"Phường Nam Đông Hà",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.64,6.22,1.03,3.47
63,"Xã Tân Lập",D+1-3,"Mùa mưa (T9-T12)",255,111,0.8,2.12,4.72,0.51,3.4
63,"Xã Tân Lập",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,9.06,10.76,-4.68,-2.1
63,"Xã Tân Lập",D+4-7,"Mùa mưa (T9-T12)",340,148,0.7,2.55,6.89,0.69,5.11
63,"Xã Tân Lập",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,9.34,10.03,-5.1,-3.7
64,"Xã Triệu Cơ",D+1-3,"Mùa mưa (T9-T12)",255,111,1.7,7.16,7.9,-0.55,1.94
64,"Xã Triệu Cơ",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,2.97,4.95,1.97,3.8
64,"Xã Triệu Cơ",D+4-7,"Mùa mưa (T9-T12)",340,148,1.4,8.4,14.32,3.28,11.29
64,"Xã Triệu Cơ",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.49,5.27,1.57,4.22
65,"Xã Cửa Việt",D+1-3,"Mùa mưa (T9-T12)",255,111,2,6.34,7.01,-0.21,2.26
65,"Xã Cửa Việt",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.47,5.28,1.09,2.86
65,"Xã Cửa Việt",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,8.97,14.41,3.52,10.6
65,"Xã Cửa Việt",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.33,6.04,0.64,3.14
66,"Xã Lìa",D+1-3,"Mùa mưa (T9-T12)",255,111,1,2.59,5.19,0.57,2.99
66,"Xã Lìa",D+1-3,"Mùa khô (T1-T8)",1008,435,0.3,9.3,15.78,-3.78,6
66,"Xã Lìa",D+4-7,"Mùa mưa (T9-T12)",340,148,0.8,3.17,7.64,1.29,5.27
66,"Xã Lìa",D+4-7,"Mùa khô (T1-T8)",1344,580,0.3,9.51,13.27,-4.43,1.84
67,"Xã Khe Sanh",D+1-3,"Mùa mưa (T9-T12)",255,111,0.8,2.28,5.9,1.17,4.8
67,"Xã Khe Sanh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,9.37,10.94,-5.88,-3.53
67,"Xã Khe Sanh",D+4-7,"Mùa mưa (T9-T12)",340,148,0.7,2.51,8.06,1.07,6.78
67,"Xã Khe Sanh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.4,9.61,10.16,-6.26,-4.76
68,"Xã Triệu Bình",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,6.3,6.99,-0.96,0.91
68,"Xã Triệu Bình",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,3.28,5.21,2.45,4.32
68,"Xã Triệu Bình",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,7.7,12.4,2.19,8.58
68,"Xã Triệu Bình",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.78,5.99,1.95,5.05
69,"Xã Ái Tử",D+1-3,"Mùa mưa (T9-T12)",255,111,2.5,6.76,7.66,-0.74,0.89
69,"Xã Ái Tử",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.43,6.11,1.66,4.43
69,"Xã Ái Tử",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,7.47,10.72,1.47,6.6
69,"Xã Ái Tử",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.25,5.95,1.28,3.85
70,"Xã Gio Linh",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,5.92,7.04,-1.15,0.99
70,"Xã Gio Linh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.23,4.78,2.35,3.89
70,"Xã Gio Linh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,7.51,12.17,1.52,7.44
70,"Xã Gio Linh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,2.91,4.64,1.91,3.45
71,"Phường Đông Hà",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,5.8,7.03,-1.56,0.68
71,"Phường Đông Hà",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.66,6.51,1.44,4.46
71,"Phường Đông Hà",D+4-7,"Mùa mưa (T9-T12)",340,148,1.4,6.94,9.65,-0.07,5.02
71,"Phường Đông Hà",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.66,7.4,1.03,4.68
72,"Xã Bến Quan",D+1-3,"Mùa mưa (T9-T12)",255,111,3.1,5.44,6.92,1.08,2.62
72,"Xã Bến Quan",D+1-3,"Mùa khô (T1-T8)",1008,435,1.4,3.66,3.22,1.64,0.47
72,"Xã Bến Quan",D+4-7,"Mùa mưa (T9-T12)",340,148,2.6,6.94,9.01,1.12,4.76
72,"Xã Bến Quan",D+4-7,"Mùa khô (T1-T8)",1344,580,1.5,3.37,3.02,1.04,-0.07
73,"Xã Cửa Tùng",D+1-3,"Mùa mưa (T9-T12)",255,111,1.7,6.6,8.56,0.12,3.48
73,"Xã Cửa Tùng",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.51,5.29,1.16,3.01
73,"Xã Cửa Tùng",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,10.05,17.78,4.5,14
73,"Xã Cửa Tùng",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.18,4.62,0.47,1.8
74,"Xã Hướng Lập",D+1-3,"Mùa mưa (T9-T12)",255,111,1.8,9.56,13.37,9.55,13.15
74,"Xã Hướng Lập",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,7.35,7.53,-2.54,-3.3
74,"Xã Hướng Lập",D+4-7,"Mùa mưa (T9-T12)",340,148,1.4,10.88,16.77,10.87,16.62
74,"Xã Hướng Lập",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,7.62,7.7,-2.84,-4.56
75,"Xã Hướng Phùng",D+1-3,"Mùa mưa (T9-T12)",255,111,1.5,4.92,9.75,4.78,9.33
75,"Xã Hướng Phùng",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,5.45,7.05,1.61,2.9
75,"Xã Hướng Phùng",D+4-7,"Mùa mưa (T9-T12)",340,148,1.2,4.99,11.26,4.69,10.42
75,"Xã Hướng Phùng",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,5.57,6.49,1.4,1.88
76,"Xã Lao Bảo",D+1-3,"Mùa mưa (T9-T12)",255,111,0.4,1.81,2.98,-1.06,0.63
76,"Xã Lao Bảo",D+1-3,"Mùa khô (T1-T8)",1008,435,0.8,11.62,13.73,-6.92,-2.31
76,"Xã Lao Bảo",D+4-7,"Mùa mưa (T9-T12)",340,148,0.3,2.09,4.27,-1.06,1.71
76,"Xã Lao Bảo",D+4-7,"Mùa khô (T1-T8)",1344,580,0.9,12.21,12.6,-7.34,-3.61
77,"Xã A Dơi",D+1-3,"Mùa mưa (T9-T12)",255,111,1.6,4.62,7.46,3.55,5.59
77,"Xã A Dơi",D+1-3,"Mùa khô (T1-T8)",1008,435,0.3,6.99,9.64,-2.4,1.65
77,"Xã A Dơi",D+4-7,"Mùa mưa (T9-T12)",340,148,1.1,5.85,12.52,5,11.21
77,"Xã A Dơi",D+4-7,"Mùa khô (T1-T8)",1344,580,0.4,7.12,8.71,-2.82,-0.53
78,"Xã La Lay",D+1-3,"Mùa mưa (T9-T12)",255,111,1.6,3.09,4.1,0.95,1.41
78,"Xã La Lay",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,3.97,6.65,-0.25,3.27
78,"Xã La Lay",D+4-7,"Mùa mưa (T9-T12)",340,148,1.2,4,7.94,2.09,5.8
78,"Xã La Lay",D+4-7,"Mùa khô (T1-T8)",1344,580,0.5,3.92,4.66,-0.83,-0.04
