ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
12,"Xã Tuyên Hóa",D+1-3,"Mùa khô (T1-T8)",1008,435,0.2,4.56,6.85,-0.11,2.44
12,"Xã Tuyên Hóa",D+4-7,"Mùa mưa (T9-T12)",340,148,1.2,3.09,6.72,2.34,5.83
12,"Xã Tuyên Hóa",D+4-7,"Mùa khô (T1-T8)",1344,580,0.2,4.29,6.64,-0.84,1.97
13,"Xã Phú Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2,3.54,3.19,2,0.86
13,"Xã Phú Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,4.8,6.3,-0.18,1.72
13,"Xã Phú Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,6.49,10,5.25,8.15
13,"Xã Phú Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,4.67,5.75,-1.08,-0.08
14,"Xã Trung Thuần",D+1-3,"Mùa mưa (T9-T12)",255,111,1.8,2.16,2.55,-0.44,-0.55
14,"Xã Trung Thuần",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.02,6.98,1.38,4.36
14,"Xã Trung Thuần",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,3.97,7.42,1.4,4.58
14,"Xã Trung Thuần",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.55,5.24,0.4,1.88
15,"Xã Quảng Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,1.5,2.27,2.65,-0.39,-0.82
15,"Xã Quảng Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.8,3.64,5.92,1.69,4.03
15,"Xã Quảng Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,4.18,8.84,1.55,5.4
15,"Xã Quảng Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,2.89,4.27,0.64,1.78
16,"Phường Ba Đồn",D+1-3,"Mùa mưa (T9-T12)",255,111,1.5,2.26,2.94,0.03,-0.04
16,"Phường Ba Đồn",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.52,6.62,1.37,4.29
16,"Phường Ba Đồn",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,4.27,7.73,1.82,4.45
16,"Phường Ba Đồn",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.94,4.42,0.45,1.75
17,"Xã Tuyên Bình",D+1-3,"Mùa mưa (T9-T12)",255,111,0.8,2.38,2.6,1.68,1.43
17,"Xã Tuyên Bình",D+1-3,"Mùa khô (T1-T8)",1008,435,0.2,4.57,6.76,0.03,3.02
17,"Xã Tuyên Bình",D+4-7,"Mùa mưa (T9-T12)",340,148,1.2,4.07,6.72,3.56,5.96
17,"Xã Tuyên Bình",D+4-7,"Mùa khô (T1-T8)",1344,580,0.3,4.29,6.2,-0.86,1.39
18,"Xã Nam Ba Đồn",D+1-3,"Mùa mưa (T9-T12)",255,111,2,2.09,2.88,-0.59,-0.43
18,"Xã Nam Ba Đồn",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,3.52,6.38,2.3,4.97
