ma_xa,ten_xa,cum_han_du_bao,so_mau_train,so_mau_test,mae_truoc,mae_sau,bias_truoc,bias_sau
33,"Xã Lệ Ninh",D+1-3,1845,792,6.44,6.96,1.84,2.25
33,"Xã Lệ Ninh",D+4-7,2446,1056,6.85,7.62,1.41,2.52
34,"Xã  Lệ Thủy",D+1-3,1845,792,6.68,7.11,1.43,1.78
34,"Xã  Lệ Thủy",D+4-7,2446,1056,6.85,7.58,1.11,2.09
35,"Xã Trường Phú",D+1-3,1845,792,6.38,8.52,-0.28,4.38
35,"Xã Trường Phú",D+4-7,2446,1056,7.3,9.56,-0.78,3.88
36,"Xã Tân Mỹ",D+1-3,1845,792,5.67,7.05,1.38,3.63
36,"Xã Tân Mỹ",D+4-7,2446,1056,6.24,7.89,0.85,3.88
37,"Xã Sen Ngư",D+1-3,1845,792,5.97,7.21,0.93,3.14
37,"Xã Sen Ngư",D+4-7,2446,1056,6.58,8.04,0.58,3.58
38,"Xã Kim Ngân",D+1-3,1845,792,6.37,8.08,1.25,3.75
38,"Xã Kim Ngân",D+4-7,2446,1056,7.04,8.97,0.12,2.15
39,"Xã Dân Hóa",D+1-3,1845,792,7.41,10.37,4.17,8.07
39,"Xã Dân Hóa",D+4-7,2446,1056,7.51,10.69,3.33,8.29
40,"Xã Trường Sơn",D+1-3,1845,792,6.28,7.79,-0.36,1.81
40,"Xã Trường Sơn",D+4-7,2446,1056,6.97,8.88,-1.62,1.57
41,"Xã Thượng Trạch",D+1-3,1845,792,6.22,6.96,2.24,3.52
41,"Xã Thượng Trạch",D+4-7,2446,1056,6.05,7.07,1.26,3.1
42,"Xã Tân Gianh",D+1-3,1845,792,5.46,6.93,0.22,1.78
42,"Xã Tân Gianh",D+4-7,2446,1056,6.1,7.73,0.06,1.74
43,"Xã Cam Lộ",D+1-3,1845,792,6.36,9.18,-0.19,4.76
43,"Xã Cam Lộ",D+4-7,2446,1056,7.21,9.7,-1.08,3.01
44,"Xã Cồn Tiên",D+1-3,1845,792,6.13,9.18,-0.14,5.46
44,"Xã Cồn Tiên",D+4-7,2446,1056,7.1,10.13,-1.08,4.21
45,"Xã Tà Rụt",D+1-3,1845,792,13.32,15.08,-9.73,0.86
45,"Xã Tà Rụt",D+4-7,2446,1056,14.67,16.88,-10.5,-2.18
46,"Xã Đa Krông",D+1-3,1845,792,10.88,12.08,-6.88,3.51
46,"Xã Đa Krông",D+4-7,2446,1056,12,13.18,-7.8,-0.31
47,"Xã Hiếu Giang",D+1-3,1845,792,5.49,6.46,0.95,2.49
47,"Xã Hiếu Giang",D+4-7,2446,1056,5.86,7.09,0.11,1.66
48,"Xã Hải Lăng",D+1-3,1845,792,7.03,8.28,1.31,4.47
48,"Xã Hải Lăng",D+4-7,2446,1056,7.44,9.16,0.73,5.19
49,"Xã Ba Lòng",D+1-3,1845,792,11,12.41,-6.09,5.02
49,"Xã Ba Lòng",D+4-7,2446,1056,12.08,12.88,-7.02,0.31
50,"Xã Triệu Phong",D+1-3,1845,792,6.38,8.98,0.14,5.47
50,"Xã Triệu Phong",D+4-7,2446,1056,7.09,10.13,-0.38,6.31
51,"Phường Quảng Trị",D+1-3,1845,792,6.38,8.98,0.14,5.47
51,"Phường Quảng Trị",D+4-7,2446,1056,7.09,10.13,-0.38,6.31
52,"Xã Nam Hải Lăng",D+1-3,1845,792,6.13,8.65,0.82,6.61
52,"Xã Nam Hải Lăng",D+4-7,2446,1056,6.36,8.9,0.37,6.82
53,"Xã Vĩnh Thủy",D+1-3,1845,792,5.9,8.16,0.73,4.97
53,"Xã Vĩnh Thủy",D+4-7,2446,1056,6.1,8.6,0.16,4.51
54,"Xã Diên Sanh",D+1-3,1845,792,6.06,9.44,0.44,6.93
54,"Xã Diên Sanh",D+4-7,2446,1056,6.32,10.06,-0.01,7.37
55,"Xã Vĩnh Hoàng",D+1-3,1845,792,6.63,10.12,-0.41,6.12
55,"Xã Vĩnh Hoàng",D+4-7,2446,1056,7.06,11.03,-0.62,6.69
56,"Xã Nam Cửa Việt",D+1-3,1845,792,5.2,7.92,1.61,5.99
56,"Xã Nam Cửa Việt",D+4-7,2446,1056,5.2,8.69,1.52,7.07
57,"Xã Bến Hải",D+1-3,1845,792,5.64,9.54,1.06,7.46
57,"Xã Bến Hải",D+4-7,2446,1056,5.65,9.52,0.68,6.77
58,"Xã Vĩnh Linh",D+1-3,1845,792,6.1,8.44,1.02,5.03
58,"Xã Vĩnh Linh",D+4-7,2446,1056,6.54,9.27,0.69,5.6
59,"Xã Mỹ Thủy",D+1-3,1845,792,5.94,10.33,1.19,8.22
59,"Xã Mỹ Thủy",D+4-7,2446,1056,5.94,10.94,1.01,8.72
60,"Xã Vĩnh Định",D+1-3,1845,792,5.94,10.33,1.19,8.22
